 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
16418|38449|AL020|AL031|TN052
16421|38452|AL038|AL031|TN052
16424|38455|AL020|AL031|TN052
15145|35564|AL038|AL032|MS038
15146|35565|AL038|AL032|AL031
15149|35572|AL031|AL032|AL038
15164|35592|MS026|AL032|MS038
15141|35555|MS026|AL032|AL009
15130|35543|AL038|AL032|AL031
15131|35544|MS026|AL032|MS038
15118|35482|AL009|AL032|MS026
15127|35540|AL031|AL032|AL038
15112|35475|AL009|AL032|MS026
15110|35473|AL009|AL032|AL030
14989|35139|AL037|AL032|AL034
15007|35179|AL031|AL032|AL020
14948|35070|AL034|AL032|AL037
14955|35079|AL034|AL032|AL037
14938|35055|AL031|AL032|AL020
14939|35056|AL031|AL032|AL034
14940|35057|AL031|AL032|AL034
14947|35068|AL037|AL034|AL030
14949|35071|AL037|AL034|AL030
14953|35077|AL032|AL034|AL037
14954|35078|AL030|AL034|AL037
14929|35044|AL030|AL034|AL037
14924|35036|AL037|AL034|AL030
14910|35013|AL022|AL034|AL037
14919|35031|AL022|AL034|AL031
14920|35032|AL030|AL034|AL037
15008|35180|AL032|AL034|AL037
15009|35181|AL037|AL034|AL030
14994|35147|AL030|AL034|AL037
14997|35150|AL030|AL034|AL037
14998|35151|AL030|AL034|AL037
14999|35160|AL021|AL034|AL022
15000|35161|AL021|AL034|AL022
15013|35185|AL030|AL034|AL037
15028|35212|AL037|AL034|AL030
15011|35183|AL030|AL034|AL037
14972|35117|AL037|AL034|AL030
14976|35121|AL022|AL034|AL037
14957|35082|AL030|AL034|AL037
14974|35119|AL037|AL034|AL030
15070|35290|AL037|AL034|AL030
15045|35232|AL037|AL034|AL030
14986|35135|AL021|AL034|AL022
15279|35952|AL022|AL034|AL021
15290|35964|AL022|AL034|AL020
15310|35990|AL022|AL034|AL021
15321|36020|AL036|AL035|AL030
15322|36022|AL036|AL035|AL030
15323|36023|AL036|AL035|GA075
15324|36024|AL036|AL035|GA075
15325|36025|AL036|AL035|AL030
15326|36026|AL036|AL035|AL030
15329|36029|AL036|AL035|AL025
15317|36013|AL036|AL035|GA075
15375|36092|AL036|AL035|AL030
15376|36093|AL036|AL035|GA075
15377|36101|AL036|AL035|AL030
15378|36102|AL036|AL035|AL030
15379|36103|AL036|AL035|AL030
15380|36104|AL036|AL035|AL030
15381|36105|AL036|AL035|AL025
15382|36106|AL036|AL035|AL025
15383|36107|AL036|AL035|AL030
